Age,Gender,Work hours,Screen time,Sleep time,Exercise frequency,Mood Stability,Fatigue level,Headache,Social Connections,Work Stress,Personal Time Satisfaction,Overall_Balance_Score,Sleep_Hours
16 - 21,Female,More than 10 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Neutral,Occasionally tired,Frequently,Strong,Medium,Poor,1,7.343284842744301
16 - 21,Male,7 - 8 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Neutral,Fresh,Never,Strong,High,Poor,0,5.585448886695192
30 - 45,Male,7 - 8 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Neutral,Often tired,Frequently,Weak,High,Poor,0,5.0035981178139055
22 - 30,Female,9 - 10 hours,4 - 6 hours,6 - 8 hours,Daily,Stable,Fresh,Never,Moderate,Medium,Good,2,7.457596330983245
45 - 60,Male,9 - 10 hours,Less than 2 hours,More than 8 hours,Never,Stable,Fresh,Frequently,Weak,Medium,Poor,0,5.191391987007838
30 - 45,Female,7 - 8 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Unstable,Often tired,Sometimes,Moderate,High,Good,0,4.863195433602852
16 - 21,Female,More than 10 hours,More than 6 hours,6 - 8 hours,Never,Neutral,Occasionally tired,Never,Weak,High,Good,0,6.3169011226672565
22 - 30,Male,9 - 10 hours,Less than 2 hours,More than 8 hours,1 - 2 times per week,Unstable,Often tired,Never,Weak,Low,Average,0,5.6667835895322405
30 - 45,Male,Less than 7 hours,2 - 4 hours,More than 8 hours,Never,Stable,Fresh,Never,Weak,High,Poor,1,6.583802518101245
22 - 30,Male,Less than 7 hours,2 - 4 hours,More than 8 hours,1 - 2 times per week,Stable,Often tired,Frequently,Weak,Medium,Poor,1,6.016256477220447
30 - 45,Female,Less than 7 hours,Less than 2 hours,4 - 6 hours,1 - 2 times per week,Unstable,Fresh,Sometimes,Moderate,Low,Average,0,5.30170283352728
22 - 30,Male,More than 10 hours,2 - 4 hours,More than 8 hours,1 - 2 times per week,Neutral,Often tired,Never,Moderate,Medium,Good,1,7.358072964628896
16 - 21,Female,7 - 8 hours,Less than 2 hours,Less than 4 hours,1 - 2 times per week,Neutral,Exhausted,Never,Strong,Low,Poor,1,6.136930015179201
45 - 60,Female,Less than 7 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Neutral,Exhausted,Never,Weak,Medium,Good,1,6.478970456385622
16 - 21,Female,More than 10 hours,Less than 2 hours,4 - 6 hours,1 - 2 times per week,Neutral,Often tired,Never,Moderate,High,Average,0,5.424011607288265
45 - 60,Male,9 - 10 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Unstable,Occasionally tired,Sometimes,Moderate,Medium,Good,1,7.425092950576207
22 - 30,Male,7 - 8 hours,Less than 2 hours,4 - 6 hours,1 - 2 times per week,Unstable,Fresh,Frequently,Moderate,Low,Poor,0,6.39456667922363
30 - 45,Female,9 - 10 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Stable,Exhausted,Sometimes,Weak,Medium,Good,0,4.806702806232161
16 - 21,Male,More than 10 hours,Less than 2 hours,4 - 6 hours,Never,Neutral,Occasionally tired,Never,Strong,Low,Good,1,7.425910720406334
45 - 60,Male,Less than 7 hours,Less than 2 hours,6 - 8 hours,3 - 4 times per week,Neutral,Fresh,Sometimes,Moderate,Medium,Poor,2,7.153959819657586
16 - 21,Male,Less than 7 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Neutral,Exhausted,Never,Weak,High,Poor,0,5.672459664033594
45 - 60,Female,More than 10 hours,2 - 4 hours,Less than 4 hours,3 - 4 times per week,Unstable,Exhausted,Frequently,Moderate,High,Good,0,5.511777357768932
16 - 21,Female,Less than 7 hours,More than 6 hours,Less than 4 hours,1 - 2 times per week,Neutral,Often tired,Frequently,Moderate,Medium,Good,0,5.722908470869296
45 - 60,Male,7 - 8 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Unstable,Fresh,Frequently,Strong,Medium,Average,1,6.860156832184929
45 - 60,Female,More than 10 hours,Less than 2 hours,6 - 8 hours,Never,Neutral,Occasionally tired,Never,Moderate,Medium,Poor,1,6.947755818254699
22 - 30,Male,9 - 10 hours,Less than 2 hours,4 - 6 hours,Daily,Neutral,Occasionally tired,Sometimes,Moderate,Low,Good,1,6.6726682829674795
45 - 60,Male,More than 10 hours,2 - 4 hours,4 - 6 hours,Daily,Stable,Occasionally tired,Frequently,Weak,Medium,Poor,1,6.439816157547097
22 - 30,Male,7 - 8 hours,2 - 4 hours,4 - 6 hours,Never,Neutral,Fresh,Never,Weak,Medium,Average,0,4.536220367641681
45 - 60,Male,7 - 8 hours,2 - 4 hours,Less than 4 hours,3 - 4 times per week,Neutral,Occasionally tired,Never,Strong,Low,Good,2,7.579502905827536
30 - 45,Female,More than 10 hours,More than 6 hours,4 - 6 hours,Daily,Stable,Occasionally tired,Sometimes,Weak,High,Good,1,6.492996818054874
30 - 45,Female,More than 10 hours,More than 6 hours,Less than 4 hours,Never,Unstable,Occasionally tired,Frequently,Weak,Medium,Good,0,6.2442478178883025
30 - 45,Female,Less than 7 hours,More than 6 hours,Less than 4 hours,Never,Unstable,Often tired,Never,Strong,Medium,Poor,0,6.364236564967225
45 - 60,Male,7 - 8 hours,Less than 2 hours,More than 8 hours,Daily,Neutral,Often tired,Sometimes,Moderate,High,Average,0,5.630266367178418
22 - 30,Male,More than 10 hours,More than 6 hours,4 - 6 hours,3 - 4 times per week,Unstable,Fresh,Frequently,Strong,High,Poor,0,5.893301647753784
22 - 30,Male,More than 10 hours,4 - 6 hours,4 - 6 hours,Never,Neutral,Fresh,Sometimes,Weak,Low,Good,1,7.008777684115557
45 - 60,Female,7 - 8 hours,4 - 6 hours,6 - 8 hours,1 - 2 times per week,Stable,Occasionally tired,Sometimes,Strong,Medium,Average,2,7.322442574508009
30 - 45,Male,More than 10 hours,2 - 4 hours,More than 8 hours,3 - 4 times per week,Stable,Often tired,Never,Moderate,Medium,Good,2,8.859395304685146
30 - 45,Female,Less than 7 hours,More than 6 hours,6 - 8 hours,3 - 4 times per week,Neutral,Exhausted,Never,Strong,Low,Good,2,8.616240759128834
22 - 30,Female,7 - 8 hours,4 - 6 hours,More than 8 hours,Daily,Stable,Exhausted,Never,Weak,High,Poor,1,7.12856179415652
30 - 45,Female,Less than 7 hours,2 - 4 hours,4 - 6 hours,Daily,Stable,Occasionally tired,Sometimes,Weak,Low,Good,2,8.266807513020847
16 - 21,Female,Less than 7 hours,More than 6 hours,Less than 4 hours,1 - 2 times per week,Neutral,Occasionally tired,Never,Strong,High,Average,1,7.187368565588773
22 - 30,Female,Less than 7 hours,Less than 2 hours,Less than 4 hours,Never,Neutral,Often tired,Sometimes,Moderate,Low,Good,1,7.184427214191831
30 - 45,Female,Less than 7 hours,4 - 6 hours,Less than 4 hours,Daily,Stable,Often tired,Sometimes,Strong,High,Good,1,6.136809154573036
22 - 30,Male,7 - 8 hours,Less than 2 hours,Less than 4 hours,Daily,Unstable,Often tired,Never,Moderate,Low,Poor,0,6.344998762354591
16 - 21,Male,Less than 7 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Unstable,Fresh,Frequently,Moderate,High,Average,0,5.914477268626797
22 - 30,Female,Less than 7 hours,4 - 6 hours,6 - 8 hours,Daily,Neutral,Fresh,Frequently,Strong,High,Poor,2,8.742921180375436
22 - 30,Female,More than 10 hours,More than 6 hours,More than 8 hours,Daily,Neutral,Occasionally tired,Frequently,Moderate,High,Good,1,6.741630457053872
22 - 30,Male,7 - 8 hours,Less than 2 hours,4 - 6 hours,Daily,Unstable,Fresh,Sometimes,Weak,High,Poor,0,4.805078085828523
22 - 30,Female,7 - 8 hours,4 - 6 hours,6 - 8 hours,Daily,Stable,Often tired,Sometimes,Strong,High,Poor,1,6.086338140024966
16 - 21,Female,9 - 10 hours,Less than 2 hours,More than 8 hours,3 - 4 times per week,Unstable,Often tired,Sometimes,Moderate,Medium,Poor,0,5.652576720333626
45 - 60,Male,7 - 8 hours,More than 6 hours,Less than 4 hours,1 - 2 times per week,Unstable,Fresh,Never,Weak,High,Poor,0,5.713430092765712
22 - 30,Female,7 - 8 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Unstable,Exhausted,Sometimes,Strong,Medium,Good,1,6.824293323485604
22 - 30,Female,9 - 10 hours,Less than 2 hours,More than 8 hours,Never,Unstable,Occasionally tired,Never,Weak,High,Good,0,5.348261342604772
30 - 45,Female,7 - 8 hours,4 - 6 hours,Less than 4 hours,Daily,Neutral,Exhausted,Never,Weak,Medium,Average,0,5.972888471249446
22 - 30,Male,7 - 8 hours,Less than 2 hours,Less than 4 hours,3 - 4 times per week,Neutral,Occasionally tired,Frequently,Weak,Medium,Poor,2,8.607344153798229
30 - 45,Male,7 - 8 hours,More than 6 hours,Less than 4 hours,Never,Stable,Exhausted,Frequently,Moderate,Low,Poor,1,6.662295752060065
45 - 60,Male,7 - 8 hours,Less than 2 hours,4 - 6 hours,Never,Stable,Fresh,Frequently,Strong,High,Average,1,7.33155627413745
16 - 21,Female,9 - 10 hours,More than 6 hours,Less than 4 hours,1 - 2 times per week,Stable,Occasionally tired,Never,Strong,Low,Poor,1,6.5263725188281185
16 - 21,Female,7 - 8 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Stable,Occasionally tired,Never,Moderate,Low,Average,1,6.175600524641409
45 - 60,Male,7 - 8 hours,4 - 6 hours,Less than 4 hours,3 - 4 times per week,Unstable,Occasionally tired,Never,Strong,High,Good,1,6.214487523079254
16 - 21,Female,9 - 10 hours,4 - 6 hours,4 - 6 hours,3 - 4 times per week,Neutral,Often tired,Sometimes,Weak,Low,Average,0,6.36873402953803
45 - 60,Female,More than 10 hours,Less than 2 hours,More than 8 hours,1 - 2 times per week,Neutral,Often tired,Never,Strong,High,Poor,0,6.351137025813553
45 - 60,Female,Less than 7 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Stable,Exhausted,Frequently,Moderate,Low,Average,1,7.142265947576208
45 - 60,Female,More than 10 hours,4 - 6 hours,More than 8 hours,1 - 2 times per week,Stable,Fresh,Frequently,Weak,High,Good,1,6.927327094974392
16 - 21,Female,9 - 10 hours,More than 6 hours,More than 8 hours,1 - 2 times per week,Unstable,Often tired,Never,Moderate,High,Poor,0,5.401678742808264
30 - 45,Male,Less than 7 hours,4 - 6 hours,Less than 4 hours,1 - 2 times per week,Unstable,Occasionally tired,Never,Weak,High,Good,0,4.72647609168151
45 - 60,Female,9 - 10 hours,More than 6 hours,4 - 6 hours,Daily,Stable,Often tired,Frequently,Weak,Medium,Good,1,6.151684014184186
22 - 30,Male,9 - 10 hours,Less than 2 hours,6 - 8 hours,Daily,Neutral,Fresh,Never,Strong,Low,Average,2,7.3731401177720715
16 - 21,Female,7 - 8 hours,Less than 2 hours,Less than 4 hours,3 - 4 times per week,Neutral,Often tired,Frequently,Weak,Medium,Good,1,6.126160209172496
45 - 60,Male,Less than 7 hours,More than 6 hours,Less than 4 hours,Never,Neutral,Occasionally tired,Sometimes,Moderate,Low,Poor,1,7.0514536971886805
45 - 60,Female,7 - 8 hours,Less than 2 hours,Less than 4 hours,3 - 4 times per week,Stable,Exhausted,Frequently,Strong,Low,Good,2,8.785117996979956
22 - 30,Male,Less than 7 hours,More than 6 hours,More than 8 hours,Never,Neutral,Occasionally tired,Sometimes,Moderate,Low,Good,2,8.078684483831301
30 - 45,Female,9 - 10 hours,2 - 4 hours,4 - 6 hours,1 - 2 times per week,Unstable,Fresh,Never,Weak,Medium,Average,0,6.469682397924669
30 - 45,Male,9 - 10 hours,4 - 6 hours,4 - 6 hours,Never,Unstable,Exhausted,Never,Moderate,Low,Good,0,6.177796172891869
30 - 45,Female,More than 10 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Stable,Often tired,Sometimes,Moderate,Medium,Average,0,4.749325362406534
45 - 60,Male,Less than 7 hours,More than 6 hours,4 - 6 hours,3 - 4 times per week,Unstable,Often tired,Never,Weak,High,Average,0,6.341683765234745
45 - 60,Female,7 - 8 hours,4 - 6 hours,4 - 6 hours,Never,Stable,Often tired,Sometimes,Strong,Low,Poor,1,6.10914450954629
45 - 60,Male,More than 10 hours,More than 6 hours,Less than 4 hours,Daily,Neutral,Exhausted,Never,Moderate,Low,Poor,0,6.239792724124257
16 - 21,Male,More than 10 hours,4 - 6 hours,Less than 4 hours,1 - 2 times per week,Neutral,Occasionally tired,Frequently,Weak,High,Poor,0,5.537676114252144
22 - 30,Female,More than 10 hours,4 - 6 hours,More than 8 hours,1 - 2 times per week,Neutral,Exhausted,Never,Strong,High,Poor,0,5.682550871489859
45 - 60,Female,7 - 8 hours,4 - 6 hours,Less than 4 hours,3 - 4 times per week,Unstable,Exhausted,Frequently,Strong,Low,Average,1,7.232790088935534
22 - 30,Male,More than 10 hours,4 - 6 hours,Less than 4 hours,Daily,Stable,Fresh,Frequently,Strong,High,Good,1,7.059363340734745
22 - 30,Female,7 - 8 hours,More than 6 hours,Less than 4 hours,Never,Neutral,Exhausted,Sometimes,Moderate,Medium,Poor,0,5.298005407740261
30 - 45,Male,More than 10 hours,4 - 6 hours,Less than 4 hours,1 - 2 times per week,Stable,Often tired,Never,Moderate,Medium,Poor,0,4.609523277644063
16 - 21,Male,7 - 8 hours,4 - 6 hours,More than 8 hours,Daily,Neutral,Occasionally tired,Sometimes,Moderate,Low,Poor,2,8.614880310328125
45 - 60,Male,9 - 10 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Unstable,Occasionally tired,Never,Strong,Medium,Good,0,5.170394483291802
30 - 45,Female,9 - 10 hours,Less than 2 hours,6 - 8 hours,Daily,Unstable,Occasionally tired,Frequently,Moderate,Medium,Poor,0,6.105706897196023
30 - 45,Male,9 - 10 hours,Less than 2 hours,6 - 8 hours,Daily,Stable,Often tired,Frequently,Weak,Low,Good,1,6.12202317096285
45 - 60,Male,9 - 10 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Unstable,Often tired,Never,Moderate,High,Average,0,4.509264046009205
22 - 30,Female,9 - 10 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Unstable,Often tired,Never,Moderate,Low,Average,0,5.166998343382288
30 - 45,Female,More than 10 hours,More than 6 hours,Less than 4 hours,Never,Stable,Often tired,Sometimes,Strong,Medium,Average,0,5.296337387181887
22 - 30,Female,More than 10 hours,More than 6 hours,6 - 8 hours,3 - 4 times per week,Neutral,Often tired,Never,Moderate,Low,Good,2,8.792182599846987
16 - 21,Female,More than 10 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Unstable,Exhausted,Never,Weak,Low,Poor,0,5.5747912058758455
22 - 30,Male,7 - 8 hours,2 - 4 hours,More than 8 hours,Never,Stable,Often tired,Never,Strong,Medium,Poor,1,6.127256571127788
16 - 21,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Unstable,Often tired,Sometimes,Weak,Medium,Poor,1,7.479959367751763
22 - 30,Male,7 - 8 hours,4 - 6 hours,4 - 6 hours,Daily,Unstable,Often tired,Never,Strong,Low,Poor,1,6.5614061936341805
30 - 45,Male,7 - 8 hours,More than 6 hours,6 - 8 hours,Daily,Unstable,Often tired,Frequently,Strong,Medium,Poor,1,6.555963220600336
30 - 45,Female,9 - 10 hours,More than 6 hours,6 - 8 hours,1 - 2 times per week,Unstable,Occasionally tired,Sometimes,Moderate,Medium,Good,1,7.219199350886254
16 - 21,Male,9 - 10 hours,More than 6 hours,Less than 4 hours,1 - 2 times per week,Stable,Often tired,Sometimes,Weak,Medium,Average,0,6.339711232825521
45 - 60,Male,9 - 10 hours,Less than 2 hours,6 - 8 hours,Never,Stable,Exhausted,Frequently,Strong,Medium,Poor,0,5.192691988731923
16 - 21,Female,Less than 7 hours,4 - 6 hours,4 - 6 hours,1 - 2 times per week,Stable,Exhausted,Frequently,Moderate,Medium,Average,0,5.193906403792456
16 - 21,Male,More than 10 hours,More than 6 hours,Less than 4 hours,Daily,Unstable,Exhausted,Frequently,Strong,Medium,Good,0,5.9750024962194965
22 - 30,Male,7 - 8 hours,More than 6 hours,Less than 4 hours,Never,Unstable,Fresh,Never,Strong,High,Good,0,5.404435881779614
22 - 30,Male,7 - 8 hours,More than 6 hours,More than 8 hours,Never,Unstable,Occasionally tired,Frequently,Strong,Low,Poor,1,7.420872866075788
16 - 21,Male,9 - 10 hours,Less than 2 hours,More than 8 hours,1 - 2 times per week,Stable,Often tired,Never,Strong,Medium,Good,1,7.479001595734307
30 - 45,Male,7 - 8 hours,Less than 2 hours,6 - 8 hours,Daily,Unstable,Fresh,Sometimes,Strong,Low,Average,2,7.636006949943727
22 - 30,Male,7 - 8 hours,2 - 4 hours,More than 8 hours,Never,Neutral,Often tired,Sometimes,Strong,High,Poor,1,7.130067277888412
45 - 60,Female,More than 10 hours,4 - 6 hours,More than 8 hours,Daily,Unstable,Fresh,Frequently,Moderate,Medium,Poor,0,4.949209645879964
22 - 30,Female,9 - 10 hours,2 - 4 hours,More than 8 hours,Daily,Neutral,Fresh,Never,Strong,Low,Average,2,7.220103849055354
22 - 30,Male,More than 10 hours,4 - 6 hours,Less than 4 hours,Daily,Unstable,Exhausted,Frequently,Weak,Medium,Poor,0,5.404879032265387
45 - 60,Male,Less than 7 hours,Less than 2 hours,Less than 4 hours,1 - 2 times per week,Stable,Exhausted,Frequently,Moderate,Medium,Poor,0,4.781714040759599
16 - 21,Female,Less than 7 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Unstable,Fresh,Never,Weak,Medium,Average,1,6.564389378296374
45 - 60,Male,Less than 7 hours,2 - 4 hours,More than 8 hours,3 - 4 times per week,Neutral,Exhausted,Frequently,Strong,Medium,Poor,2,7.455870325083883
16 - 21,Male,9 - 10 hours,More than 6 hours,Less than 4 hours,Never,Neutral,Fresh,Sometimes,Weak,Medium,Poor,0,4.852773973012447
16 - 21,Male,7 - 8 hours,2 - 4 hours,More than 8 hours,Daily,Unstable,Occasionally tired,Frequently,Strong,Medium,Average,2,7.854215577252512
16 - 21,Female,9 - 10 hours,Less than 2 hours,Less than 4 hours,1 - 2 times per week,Neutral,Exhausted,Never,Strong,Medium,Good,0,5.496735545478959
45 - 60,Male,9 - 10 hours,Less than 2 hours,Less than 4 hours,Daily,Neutral,Exhausted,Never,Moderate,High,Average,0,5.337850899009096
16 - 21,Female,7 - 8 hours,Less than 2 hours,4 - 6 hours,Daily,Stable,Exhausted,Sometimes,Moderate,High,Poor,0,6.3296918021362
30 - 45,Male,More than 10 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Unstable,Occasionally tired,Never,Strong,Medium,Average,0,5.224787798233266
45 - 60,Female,Less than 7 hours,4 - 6 hours,More than 8 hours,3 - 4 times per week,Unstable,Fresh,Never,Moderate,Medium,Poor,1,6.125251075048003
30 - 45,Female,More than 10 hours,2 - 4 hours,4 - 6 hours,Daily,Unstable,Often tired,Sometimes,Weak,High,Poor,0,5.661176700556087
16 - 21,Male,Less than 7 hours,4 - 6 hours,Less than 4 hours,Daily,Neutral,Exhausted,Frequently,Moderate,High,Average,0,5.76452857583906
22 - 30,Female,9 - 10 hours,2 - 4 hours,More than 8 hours,3 - 4 times per week,Unstable,Fresh,Sometimes,Moderate,High,Poor,0,4.526188913176667
16 - 21,Male,Less than 7 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Unstable,Occasionally tired,Frequently,Weak,Medium,Good,1,7.165720373891155
30 - 45,Female,9 - 10 hours,Less than 2 hours,6 - 8 hours,Never,Stable,Often tired,Sometimes,Moderate,Low,Poor,0,5.827074744033421
30 - 45,Male,More than 10 hours,More than 6 hours,4 - 6 hours,3 - 4 times per week,Stable,Exhausted,Frequently,Strong,Low,Average,1,6.837606374603707
45 - 60,Male,9 - 10 hours,More than 6 hours,6 - 8 hours,Never,Stable,Occasionally tired,Sometimes,Weak,Low,Good,2,8.636029531844986
22 - 30,Female,More than 10 hours,4 - 6 hours,4 - 6 hours,Never,Neutral,Occasionally tired,Frequently,Strong,Low,Good,2,8.721461166512686
45 - 60,Male,7 - 8 hours,More than 6 hours,Less than 4 hours,3 - 4 times per week,Unstable,Often tired,Sometimes,Weak,Medium,Poor,0,4.856071933739503
30 - 45,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,Daily,Stable,Fresh,Frequently,Strong,Low,Average,2,7.013904261062382
16 - 21,Female,7 - 8 hours,2 - 4 hours,6 - 8 hours,Never,Stable,Exhausted,Sometimes,Strong,High,Poor,1,6.636333013870464
22 - 30,Male,9 - 10 hours,Less than 2 hours,Less than 4 hours,Never,Stable,Exhausted,Never,Moderate,High,Poor,0,6.42214063493891
16 - 21,Male,7 - 8 hours,Less than 2 hours,6 - 8 hours,1 - 2 times per week,Unstable,Fresh,Frequently,Strong,Low,Average,1,7.3595315776421035
16 - 21,Female,Less than 7 hours,More than 6 hours,More than 8 hours,Daily,Unstable,Fresh,Sometimes,Moderate,High,Average,1,6.166796223459227
22 - 30,Female,More than 10 hours,4 - 6 hours,4 - 6 hours,Never,Unstable,Fresh,Frequently,Weak,Medium,Poor,0,4.7973254555062255
45 - 60,Male,More than 10 hours,More than 6 hours,4 - 6 hours,1 - 2 times per week,Neutral,Often tired,Frequently,Strong,Low,Good,0,5.329248247454047
16 - 21,Male,Less than 7 hours,More than 6 hours,4 - 6 hours,Daily,Neutral,Often tired,Sometimes,Strong,Low,Poor,2,8.021494605155132
30 - 45,Female,9 - 10 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Stable,Exhausted,Frequently,Weak,Medium,Good,1,6.738937656436288
16 - 21,Female,9 - 10 hours,More than 6 hours,4 - 6 hours,3 - 4 times per week,Unstable,Often tired,Sometimes,Weak,High,Poor,0,4.670699336157288
22 - 30,Male,More than 10 hours,2 - 4 hours,Less than 4 hours,1 - 2 times per week,Stable,Occasionally tired,Never,Strong,Medium,Average,0,6.4937485036918945
22 - 30,Female,7 - 8 hours,4 - 6 hours,6 - 8 hours,3 - 4 times per week,Unstable,Exhausted,Frequently,Weak,Medium,Good,1,6.0170304671511285
22 - 30,Male,9 - 10 hours,2 - 4 hours,More than 8 hours,Never,Unstable,Often tired,Never,Moderate,High,Average,0,5.504390020662485
45 - 60,Male,9 - 10 hours,4 - 6 hours,4 - 6 hours,Daily,Unstable,Fresh,Frequently,Weak,Medium,Average,0,5.690770034640088
16 - 21,Male,Less than 7 hours,Less than 2 hours,Less than 4 hours,Never,Neutral,Occasionally tired,Frequently,Weak,High,Average,0,4.634152954776855
45 - 60,Male,Less than 7 hours,More than 6 hours,6 - 8 hours,Never,Neutral,Fresh,Frequently,Strong,High,Average,1,6.70299096299119
45 - 60,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Unstable,Exhausted,Sometimes,Moderate,Medium,Average,1,6.084454913522756
22 - 30,Female,9 - 10 hours,4 - 6 hours,More than 8 hours,Never,Stable,Fresh,Never,Weak,High,Poor,0,5.999920940798356
22 - 30,Female,9 - 10 hours,Less than 2 hours,More than 8 hours,3 - 4 times per week,Unstable,Often tired,Frequently,Moderate,Medium,Good,1,6.178226874402108
45 - 60,Female,Less than 7 hours,Less than 2 hours,More than 8 hours,Daily,Unstable,Often tired,Sometimes,Moderate,High,Poor,0,4.919811186191172
16 - 21,Female,9 - 10 hours,More than 6 hours,Less than 4 hours,Daily,Stable,Exhausted,Frequently,Moderate,Low,Poor,0,6.2961085788814275
30 - 45,Male,More than 10 hours,4 - 6 hours,Less than 4 hours,Never,Unstable,Fresh,Sometimes,Strong,High,Poor,0,4.910279280964014
45 - 60,Male,Less than 7 hours,2 - 4 hours,More than 8 hours,1 - 2 times per week,Stable,Exhausted,Frequently,Weak,High,Average,0,4.881375441327333
16 - 21,Male,7 - 8 hours,More than 6 hours,4 - 6 hours,3 - 4 times per week,Neutral,Fresh,Never,Strong,Medium,Poor,2,7.834822006297558
22 - 30,Male,Less than 7 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Neutral,Occasionally tired,Never,Weak,High,Good,2,7.444215620941461
22 - 30,Female,9 - 10 hours,Less than 2 hours,6 - 8 hours,Never,Stable,Often tired,Frequently,Weak,Low,Poor,1,6.176289370165657
16 - 21,Male,7 - 8 hours,2 - 4 hours,Less than 4 hours,3 - 4 times per week,Neutral,Exhausted,Sometimes,Strong,Low,Average,1,6.973815453174096
30 - 45,Male,Less than 7 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Neutral,Occasionally tired,Frequently,Moderate,High,Good,2,7.239730734667366
22 - 30,Female,More than 10 hours,More than 6 hours,4 - 6 hours,1 - 2 times per week,Stable,Occasionally tired,Sometimes,Moderate,High,Good,0,4.57309933569619
22 - 30,Female,More than 10 hours,2 - 4 hours,6 - 8 hours,1 - 2 times per week,Neutral,Exhausted,Frequently,Weak,Low,Good,1,7.119067318898135
22 - 30,Female,Less than 7 hours,More than 6 hours,Less than 4 hours,Never,Unstable,Exhausted,Sometimes,Strong,Medium,Good,0,5.444133890219998
16 - 21,Female,More than 10 hours,Less than 2 hours,Less than 4 hours,1 - 2 times per week,Unstable,Occasionally tired,Never,Moderate,Low,Poor,0,5.629682266525233
45 - 60,Male,More than 10 hours,More than 6 hours,4 - 6 hours,Never,Stable,Fresh,Frequently,Moderate,Low,Average,0,4.631417278856705
22 - 30,Male,More than 10 hours,More than 6 hours,4 - 6 hours,Daily,Neutral,Occasionally tired,Never,Weak,High,Good,1,6.8750531476457395
45 - 60,Female,7 - 8 hours,4 - 6 hours,6 - 8 hours,Never,Unstable,Exhausted,Never,Weak,High,Good,0,6.051055233390021
30 - 45,Male,More than 10 hours,2 - 4 hours,6 - 8 hours,Daily,Unstable,Occasionally tired,Frequently,Strong,Low,Average,2,7.6752303428072555
22 - 30,Male,More than 10 hours,Less than 2 hours,Less than 4 hours,Never,Neutral,Fresh,Frequently,Weak,Medium,Poor,0,5.4065776694960554
22 - 30,Male,More than 10 hours,More than 6 hours,4 - 6 hours,3 - 4 times per week,Neutral,Often tired,Sometimes,Moderate,Low,Good,1,7.443258822711813
30 - 45,Female,7 - 8 hours,Less than 2 hours,4 - 6 hours,1 - 2 times per week,Unstable,Often tired,Sometimes,Moderate,Low,Poor,0,5.54878053865516
22 - 30,Male,Less than 7 hours,4 - 6 hours,4 - 6 hours,Daily,Unstable,Occasionally tired,Never,Moderate,Medium,Poor,0,5.381525493876456
45 - 60,Female,9 - 10 hours,2 - 4 hours,6 - 8 hours,Never,Stable,Fresh,Sometimes,Moderate,Low,Poor,1,6.562305869285556
16 - 21,Male,More than 10 hours,More than 6 hours,4 - 6 hours,1 - 2 times per week,Stable,Often tired,Sometimes,Strong,Low,Poor,0,5.301526121750652
45 - 60,Male,Less than 7 hours,2 - 4 hours,Less than 4 hours,Never,Unstable,Occasionally tired,Frequently,Strong,High,Good,0,5.619280662616436
16 - 21,Male,More than 10 hours,4 - 6 hours,Less than 4 hours,1 - 2 times per week,Stable,Occasionally tired,Sometimes,Weak,Medium,Good,0,4.810480491861425
16 - 21,Female,7 - 8 hours,4 - 6 hours,6 - 8 hours,1 - 2 times per week,Unstable,Fresh,Never,Weak,High,Poor,0,4.863856260990542
45 - 60,Male,Less than 7 hours,Less than 2 hours,More than 8 hours,Never,Unstable,Exhausted,Sometimes,Weak,High,Poor,0,6.223571242027035
45 - 60,Female,7 - 8 hours,More than 6 hours,6 - 8 hours,Daily,Stable,Occasionally tired,Never,Strong,Medium,Average,2,8.88581940782504
45 - 60,Female,More than 10 hours,Less than 2 hours,More than 8 hours,Daily,Stable,Exhausted,Frequently,Moderate,Medium,Average,1,6.428568129422791
